Song,Artist,Album,Cover Art,Year released
Star Shopping,lil peep ,single,cmu://879224/42218657/Lil_Peep_-_Star_Shopping.jpg	,2015
I get lonely ,drake,Care Package ,cmu://879224/42218264/maxresdefault.jpg,2019
White Whine,lil peep & lil tracy,single,cmu://879224/42233684/maxresdefault+(1).jpg,2016
Right Now ,lil uzi vert ,Luv is Rage,cmu://879224/42233685/maxresdefault+(2).jpg,2015
Erase Your Social ,lil uzi vert ,Luv is Rage 2,cmu://879224/42233686/images.jpeg,2016
Forever Set in Stone,rod wave ,single,cmu://879224/42233689/1200x630bf-60.jpg,2021
Sorrows,bryson tiller , A N N I V E R S A R Y,cmu://879224/42233691/images+(1).jpeg	,2020
You the One ,nba younboy ,Aint too long ,cmu://879224/42233694/artworks-KWqZrSd3ISe2-0-t500x500.jpeg        ,2017
I Can't Handle Change ,Roar,single,cmu://879224/42233695/ab67616d0000b2737ffa4709d9debeacb9723a56.jpeg        ,2010
Don't Wanna Fall in Love ,Tyler the creator ,Igor ,cmu://879224/42233698/0bbfa0b8121897ed7b296a7bc3eac40c.1000x1000x1.png,2019
